sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
20,DEVON FIRE & SECURITY LTD,11403509,Private Limited Company,Active,United Kingdom,07/06/2018,,,GROSVENOR HOUSE,1 NEW ROAD,BRIXHAM,DEVON,UNITED KINGDOM,TQ5 8LZ,MICRO ENTITY,33200 - Installation of industrial machinery and equipment,,,,http://business.data.gov.uk/id/company/11403509,,,,,,,,,,,,,,
21,PJK ENGINEERING LTD,06649176,Private Limited Company,Active,United Kingdom,17/07/2008,,,31 THE AVENUE,HARLINGTON,DONCASTER,,ENGLAND,DN5 7HX,MICRO ENTITY,71129 - Other engineering activities,,,,http://business.data.gov.uk/id/company/06649176,,,,,,,,,,,,,,
22,BIRCHWOOD CLADDING SYSTEMS LIMITED,04442079,Private Limited Company,Active,United Kingdom,20/05/2002,,,145A BIRCHWOOD LANE,SOMERCOTES,ALFRETON,DERBYSHIRE,,DE55 4NE,TOTAL EXEMPTION FULL,43910 - Roofing activities,,,,http://business.data.gov.uk/id/company/04442079,,,,,,,,,,,,,,
23,GREEN GARDEN GARDENING SERVICES LTD,12644929,Private Limited Company,Active,United Kingdom,04/06/2020,,,9 BARNET ROAD,,LEEDS,,ENGLAND,LS12 1QN,MICRO ENTITY,91040 - Botanical and zoological gardens and nature reserves activities,,,,http://business.data.gov.uk/id/company/12644929,,,,,,,,,,,,,,
24,LEINSTER GAS LIMITED,08097612,Private Limited Company,Active,United Kingdom,08/06/2012,,,119 WEST STREET,,DUNSTABLE,BEDFORDSHIRE,,LU6 1SG,MICRO ENTITY,33190 - Repair of other equipment,,,,http://business.data.gov.uk/id/company/08097612,,,,,,,,,,,,,,
25,ECCHO DESIGN AND CONSULTANCY LIMITED,15976136,Private Limited Company,Active,United Kingdom,24/09/2024,,,UNIT 17 GLENMORE BUSINESS PARK,CASTLE ROAD,SITTINGBOURNE,KENT,ENGLAND,ME10 3FX,NO ACCOUNTS FILED,71121 - Engineering design activities for industrial process and production,,,,http://business.data.gov.uk/id/company/15976136,,,,,,,,,,,,,,
26,THE PAYMENT PEOPLE (CARD SERVICES) LIMITED,14780861,Private Limited Company,Active,United Kingdom,04/04/2023,,,FELAW MALTINGS,44 FELAW STREET,IPSWICH,,ENGLAND,IP2 8SJ,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,70229 - Management consultancy activities other than financial management,,,http://business.data.gov.uk/id/company/14780861,,,,,,,,,,,,,,
27,LEAN DISCOVERY LIMITED,SC401730,Private Limited Company,Active,United Kingdom,15/06/2011,,,TORRIDON HOUSE TORRIDON LANE,ROSYTH,DUNFERMLINE,,SCOTLAND,KY11 2EU,MICRO ENTITY,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/SC401730,,,,,,,,,,,,,,
28,CONQUER ASSOCIATES LTD,12733819,Private Limited Company,Active,United Kingdom,10/07/2020,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,UNAUDITED ABRIDGED,62020 - Information technology consultancy activities,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,http://business.data.gov.uk/id/company/12733819,,,,,,,,,,,,,,
29,CAPITALCRAFT ADVISORS LIMITED,16024094,Private Limited Company,Active,United Kingdom,17/10/2024,,,167-169 GREAT PORTLAND STREET,,LONDON,,ENGLAND,W1W 5PF,MICRO ENTITY,69201 - Accounting and auditing activities,69203 - Tax consultancy,70221 - Financial management,70229 - Management consultancy activities other than financial management,http://business.data.gov.uk/id/company/16024094,,,,,,,,,,,,,,
30,S.B. CONSULTING (SERVICES) LIMITED,08281629,Private Limited Company,Active,United Kingdom,05/11/2012,,,C/O JACQUARDS SPACES,1 CHALFONT PARK,GERRARDS CROSS,BUCKINGHAMSHIRE,UNITED KINGDOM,SL9 0BG,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/08281629,,,,,,,,,,,,,,
31,TAGLO LABS LTD,17211131,Private Limited Company,Active,United Kingdom,11/05/2026,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,NO ACCOUNTS FILED,62012 - Business and domestic software development,63120 - Web portals,,,http://business.data.gov.uk/id/company/17211131,,,,,,,,,,,,,,
32,HOME ENHANCEMENTS LTD,11312172,Private Limited Company,Active,United Kingdom,16/04/2018,,,37 PARK AVENUE,ECCLESTON PARK,PRESCOT,,ENGLAND,L34 2QY,TOTAL EXEMPTION FULL,59112 - Video production activities,,,,http://business.data.gov.uk/id/company/11312172,,,,,,,,,,,,,,
33,IVILITY LTD,16887121,Private Limited Company,Active,United Kingdom,02/12/2025,,,13 DEAN ROAD,,SOUTH SHIELDS,TYNE AND WEAR,ENGLAND,NE33 3PS,NO ACCOUNTS FILED,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/16887121,,,,,,,,,,,,,,
34,CRYSTAL MESSA LTD,16926390,Private Limited Company,Active,United Kingdom,22/12/2025,,,5 FINAN ROAD,,DERBY,,ENGLAND,DE24 8YN,NO ACCOUNTS FILED,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",59112 - Video production activities,59200 - Sound recording and music publishing activities,62090 - Other information technology service activities,http://business.data.gov.uk/id/company/16926390,,,,,,,,,,,,,,
35,CAROKILT LTD,SC777700,Private Limited Company,Active,United Kingdom,01/08/2023,,,NORTHERN AGRI-TECH INNOVATION HUB,BUSH FARM,ROSLIN,,SCOTLAND,EH25 9RG,MICRO ENTITY,62090 - Other information technology service activities,,,,http://business.data.gov.uk/id/company/SC777700,,,,,,,,,,,,,,
36,JJLM PROPERTY LTD,16578242,Private Limited Company,Active,United Kingdom,13/07/2025,,,"FLAT 11, ANGRA BANK",BRAMHALL ROAD,LIVERPOOL,,UNITED KINGDOM,L22 3XA,NO ACCOUNTS FILED,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,http://business.data.gov.uk/id/company/16578242,,,,,,,,,,,,,,
37,ZYZIO LIMITED,12865822,Private Limited Company,Active,United Kingdom,08/09/2020,,,10 FEATHERSTON AVENUE,,WORKSOP,,ENGLAND,S80 2NU,MICRO ENTITY,49410 - Freight transport by road,,,,http://business.data.gov.uk/id/company/12865822,,,,,,,,,,,,,,
38,LUBNA & ALI COMPANY LIMITED,09018342,Private Limited Company,Active,United Kingdom,30/04/2014,,,97 CRICKLEWOOD BROADWAY,,LONDON,,UNITED KINGDOM,NW2 3JG,MICRO ENTITY,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,http://business.data.gov.uk/id/company/09018342,,,,,,,,,,,,,,
39,GOLD BRICK WORK LTD,13688135,Private Limited Company,Active,United Kingdom,19/10/2021,,,138 ASHFORD AVENUE,,HAYES,MIDDLESEX,UNITED KINGDOM,UB4 0ND,MICRO ENTITY,41202 - Construction of domestic buildings,,,,http://business.data.gov.uk/id/company/13688135,,,,,,,,,,,,,,
40,HAIRSTARWAY LTD,17296127,Private Limited Company,Active,United Kingdom,23/06/2026,,,92 SANDRINGHAM ROAD,,BARKING,,UNITED KINGDOM,IG11 9AJ,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,96020 - Hairdressing and other beauty treatment,,,http://business.data.gov.uk/id/company/17296127,,,,,,,,,,,,,,
41,JIMMYDOUGH LTD,16368224,Private Limited Company,Active,United Kingdom,07/04/2025,,,OFFICE 010 UPPER WORTLEY BUSINESS CENTRE,127 UPPER WORTLEY ROAD,LEEDS,,ENGLAND,LS12 4JG,NO ACCOUNTS FILED,56103 - Take-away food shops and mobile food stands,,,,http://business.data.gov.uk/id/company/16368224,,,,,,,,,,,,,,
42,MONTAGUE ACCOUNTANCY SERVICES LTD,NI736568,Private Limited Company,Active,United Kingdom,29/12/2025,,,206 WHITEBRIDGE ROAD,CARRICKMORE,OMAGH,,NORTHERN IRELAND,BT79 9EG,NO ACCOUNTS FILED,69201 - Accounting and auditing activities,69203 - Tax consultancy,70229 - Management consultancy activities other than financial management,,http://business.data.gov.uk/id/company/NI736568,,,,,,,,,,,,,,
43,CRAIGHEAD & WOOLF LIMITED,SC248517,Private Limited Company,Active,United Kingdom,29/04/2003,,,3 MELVILLE CRESCENT,,EDINBURGH,,SCOTLAND,EH3 7HW,TOTAL EXEMPTION FULL,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",74100 - specialised design activities,,,http://business.data.gov.uk/id/company/SC248517,,,,,,,,,,,,,,
44,TAREK AZIZ MAKKAH INTERNATIONAL TRADING LTD,16844948,Private Limited Company,Active,United Kingdom,10/11/2025,,4385,16844948 - COMPANIES HOUSE DEFAULT ADDRESS,,CARDIFF,,,CF14 8LH,NO ACCOUNTS FILED,14110 - Manufacture of leather clothes,46450 - Wholesale of perfume and cosmetics,,,http://business.data.gov.uk/id/company/16844948,,,,,,,,,,,,,,
45,MD COSMEDICO LIMITED,07523763,Private Limited Company,Active,United Kingdom,09/02/2011,,,VIRGINIA HEIGHTS,KNOWLE HILL,VIRGINIA WATER,SURREY,UNITED KINGDOM,GU25 4HZ,TOTAL EXEMPTION FULL,96020 - Hairdressing and other beauty treatment,,,,http://business.data.gov.uk/id/company/07523763,,,,,,,,,,,,,,
46,TADDY LIFTING SERVICES LTD,11537007,Private Limited Company,Active,United Kingdom,25/08/2018,,,BOSTON HOUSE,,214 HIGH STREET,BOSTON SPA,UNITED KINGDOM,LS23 6AD,MICRO ENTITY,43999 - Other specialised construction activities n.e.c.,,,,http://business.data.gov.uk/id/company/11537007,,,,,,,,,,,,,,
47,SURE START ABA LIMITED,13429752,Private Limited Company,Active,United Kingdom,31/05/2021,,,RIVERSIDE HOUSE,1-5 COMO STREET,ROMFORD,ESSEX,ENGLAND,RM7 7DN,TOTAL EXEMPTION FULL,85600 - Educational support services,,,,http://business.data.gov.uk/id/company/13429752,,,,,,,,,,,,,,
48,LEN'S ROOFING & BUILDING SERVICES LTD,13189034,Private Limited Company,Active,United Kingdom,09/02/2021,,,1-3 SHENLEY AVENUE,,RUISLIP,,ENGLAND,HA4 6BP,TOTAL EXEMPTION FULL,43390 - Other building completion and finishing,43910 - Roofing activities,,,http://business.data.gov.uk/id/company/13189034,,,,,,,,,,,,,,
49,VH PROPERTY MAINTENANCE LTD,16617785,Private Limited Company,Active,United Kingdom,30/07/2025,,,5 HIGH STREET,,MAIDENHEAD,,UNITED KINGDOM,SL6 1JN,NO ACCOUNTS FILED,41202 - Construction of domestic buildings,43910 - Roofing activities,,,http://business.data.gov.uk/id/company/16617785,,,,,,,,,,,,,,
50,EARLY RISE SCAFFOLDING LIMITED,06521162,Private Limited Company,Active,United Kingdom,03/03/2008,,,LAKESIDE OFFICES THE OLD CATTLE MARKET,CORONATION PARK,HELSTON,CORNWALL,,TR13 0SR,MICRO ENTITY,43991 - Scaffold erection,77320 - Renting and leasing of construction and civil engineering machinery and equipment,,,http://business.data.gov.uk/id/company/06521162,,,,,,,,,,,,,,
51,NV SHARP ALLIANCE LTD,13756106,Private Limited Company,Active,United Kingdom,20/11/2021,,,21 HARLEQUIN DRIVE,,WORKSOP,,ENGLAND,S81 7SP,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/13756106,,,,,,,,,,,,,,
52,BAYES ALPHA LIMITED,12871142,Private Limited Company,Active,United Kingdom,10/09/2020,,,30 OLD BAILEY,,LONDON,,UNITED KINGDOM,EC4M 7AU,TOTAL EXEMPTION FULL,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/12871142,,,,,,,,,,,,,,
53,STANLEY JAMES LTD,16044205,Private Limited Company,Active,United Kingdom,28/10/2024,,,44 DALKEITH GROVE,,STANMORE,,ENGLAND,HA7 4SF,MICRO ENTITY,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/16044205,,,,,,,,,,,,,,
54,JENSTONE GLOBAL TRADING LTD,16958612,Private Limited Company,Active,United Kingdom,13/01/2026,,,EAGLE 53,15 HANOVER SQUARE,LONDON,,ENGLAND,W1S 1HS,NO ACCOUNTS FILED,47190 - Other retail sale in non-specialised stores,47799 - Retail sale of other second-hand goods in stores (not incl. antiques),,,http://business.data.gov.uk/id/company/16958612,,,,,,,,,,,,,,
55,4MAR C LTD,17143008,Private Limited Company,Active,United Kingdom,08/04/2026,,,3 CHARLES STREET,,CAMBRIDGE,,UNITED KINGDOM,CB1 3LZ,NO ACCOUNTS FILED,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/17143008,,,,,,,,,,,,,,
56,FIRED UP GAS SERVICES LIMITED,05684687,Private Limited Company,Active,United Kingdom,23/01/2006,,,"C/O TOWERS + GORNALL LTD RIVER VIEW, 96 HIGH STREET",GARSTANG,PRESTON,LANCASHIRE,ENGLAND,PR3 1WZ,TOTAL EXEMPTION FULL,"43220 - Plumbing, heat and air-conditioning installation",,,,http://business.data.gov.uk/id/company/05684687,,,,,,,,,,,,,,
57,TORQUAY TENNIS CLUB LIMITED,09359822,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,18/12/2014,,,TORQUAY TENNIS CLUB,BELGRAVE ROAD,TORQUAY,,,TQ2 5HP,TOTAL EXEMPTION FULL,93120 - Activities of sport clubs,,,,http://business.data.gov.uk/id/company/09359822,,,,,,,,,,,,,,
58,A.L.B NEWSAGENT LIMITED,SC840135,Private Limited Company,Active,United Kingdom,05/03/2025,,,86 WESTMUIR STREET,,GLASGOW,,SCOTLAND,G31 5BJ,NO ACCOUNTS FILED,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,http://business.data.gov.uk/id/company/SC840135,,,,,,,,,,,,,,
59,ABE ENGINEERING LIMITED,13494115,Private Limited Company,Active,United Kingdom,05/07/2021,,,21 HOLLOWGATE,,ROTHERHAM,SOUTH YORKSHIRE,ENGLAND,S60 2LE,TOTAL EXEMPTION FULL,33140 - Repair of electrical equipment,,,,http://business.data.gov.uk/id/company/13494115,,,,,,,,,,,,,,
60,BRAZIER BUSINESS ASSISTANCE LTD,15597825,Private Limited Company,Active,United Kingdom,27/03/2024,,,2 NEWHAM DRIVE,,BURY,,ENGLAND,BL8 2EH,MICRO ENTITY,69201 - Accounting and auditing activities,69202 - Bookkeeping activities,82110 - Combined office administrative service activities,,http://business.data.gov.uk/id/company/15597825,,,,,,,,,,,,,,
61,PREMACTIVE LIMITED,16998933,Private Limited Company,Active,United Kingdom,29/01/2026,,,OFFICE 16986 182-184 HIGH STREET NORTH,EAST HAM,LONDON,,UNITED KINGDOM,E6 2JA,NO ACCOUNTS FILED,62012 - Business and domestic software development,62020 - Information technology consultancy activities,,,http://business.data.gov.uk/id/company/16998933,,,,,,,,,,,,,,
62,NEW FLEET SUPPLIES LIMITED,11854434,Private Limited Company,Active,United Kingdom,01/03/2019,,,"UNITS 11 & 12, SAXON BUSINESS CENTRE",41-59 WINDSOR AVENUE,LONDON,,ENGLAND,SW19 2RR,TOTAL EXEMPTION FULL,45111 - Sale of new cars and light motor vehicles,,,,http://business.data.gov.uk/id/company/11854434,,,,,,,,,,,,,,
63,DREAM SALES SOLUTIONS LIMITED,16327819,Private Limited Company,Active,United Kingdom,19/03/2025,,,17 ST. ANNS SQUARE,,MANCHESTER,,ENGLAND,M2 7PW,NO ACCOUNTS FILED,46180 - Agents specialized in the sale of other particular products,,,,http://business.data.gov.uk/id/company/16327819,,,,,,,,,,,,,,
64,WELLOW HEALTH AND FITNESS LIMITED,03822445,Private Limited Company,Active,United Kingdom,10/08/1999,,,WELLOW FITNESS CENTRE,WELLOW GOLF CLUB RYEDOWN LANE,EAST WELLOW ROMSEY,HAMPSHIRE,,SO51 6BD,MICRO ENTITY,86900 - Other human health activities,,,,http://business.data.gov.uk/id/company/03822445,,,,,,,,,,,,,,
65,DF HOUSING LTD,16164608,Private Limited Company,Active,United Kingdom,06/01/2025,,,18 INGLEWOOD DRIVE,,LEEDS,,ENGLAND,LS14 6HQ,NO ACCOUNTS FILED,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/16164608,,,,,,,,,,,,,,
66,CINEPLAN LTD,16713219,Private Limited Company,Active,United Kingdom,12/09/2025,,,C/O RED HEDRON LTD,"THE OFFICES, 57 NEWTOWN ROAD",BRIGHTON,EAST SUSSEX,ENGLAND,BN3 7BA,NO ACCOUNTS FILED,99999 - Dormant Company,,,,http://business.data.gov.uk/id/company/16713219,,,,,,,,,,,,,,
67,LEVERETT GARDENS MANAGEMENT COMPANY LTD,09855195,Private Limited Company,Active,United Kingdom,03/11/2015,,,6 LEVERETT GARDENS,DORCHESTER ROAD,POOLE,,ENGLAND,BH15 3FB,MICRO ENTITY,98000 - Residents property management,,,,http://business.data.gov.uk/id/company/09855195,,,,,,,,,,,,,,
68,CROWNGATE RESIDENTIAL LIMITED,OE006398,Overseas Entity,Active,ISLE OF MAN,05/12/2022,,,THIRD FLOOR,10 FINCH ROAD,DOUGLAS,,ISLE OF MAN,IM1 2PT,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/OE006398,,,,,,,,,,,,,,
69,BAMBOLINA CHILDRENSWEAR LTD,09598114,Private Limited Company,Active,United Kingdom,19/05/2015,,,BAMBOLINA 15 CHILDWALL PARADE,HUYTON,LIVERPOOL,MERSEYSIDE,ENGLAND,L14 6TT,TOTAL EXEMPTION FULL,46420 - Wholesale of clothing and footwear,,,,http://business.data.gov.uk/id/company/09598114,,,,,,,,,,,,,,
70,CEYLON HOPPER LTD,16738115,Private Limited Company,Active,United Kingdom,23/09/2025,,,269 PRESTON ROAD,,HARROW,,ENGLAND,HA3 0PS,NO ACCOUNTS FILED,56103 - Take-away food shops and mobile food stands,,,,http://business.data.gov.uk/id/company/16738115,,,,,,,,,,,,,,
71,O'CONNOR AND COSTELLO PROPERTIES LTD,12500553,Private Limited Company,Active,United Kingdom,05/03/2020,,,THE ROBBINS BUILDING,ALBERT STREET,RUGBY,WARKS,ENGLAND,CV21 2SD,MICRO ENTITY,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,http://business.data.gov.uk/id/company/12500553,,,,,,,,,,,,,,
72,JJR CARE LTD,11055458,Private Limited Company,Active,United Kingdom,09/11/2017,,,C/O DUBOFF & CO KINGSBURY HOUSE,468 CHURCH LANE,LONDON,,ENGLAND,NW9 8UA,MICRO ENTITY,86900 - Other human health activities,88990 - Other social work activities without accommodation n.e.c.,,,http://business.data.gov.uk/id/company/11055458,,,,,,,,,,,,,,
73,ZSOLT’S QUALITY PAINTING SERVICES LTD,14053096,Private Limited Company,Active,United Kingdom,19/04/2022,,,12 BRAND HOUSE,COOMBE WAY,FARNBOROUGH,,ENGLAND,GU14 7GB,TOTAL EXEMPTION FULL,43341 - Painting,,,,http://business.data.gov.uk/id/company/14053096,,,,,,,,,,,,,,
74,NOTED WELLS LTD,10976325,Private Limited Company,Active,United Kingdom,22/09/2017,,,7 PRINCES SQUARE,,HARROGATE,,ENGLAND,HG1 1ND,TOTAL EXEMPTION FULL,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/10976325,,,,,,,,,,,,,,
75,JAMES MCCRIRICK,SL003343,Limited Partnership,Active,United Kingdom,05/10/1998,,,C/O RCS ENGINEERING,248B PRESTWICK ROAD,AYR,,,KA8 8NW,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/SL003343,,,,,,,,,,,,,,
76,VIBEATION LTD,15380650,Private Limited Company,Active,United Kingdom,02/01/2024,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/15380650,,,,,,,,,,,,,,
77,SETBRAY DEVELOPMENTS LIMITED,03900481,Private Limited Company,Active,United Kingdom,29/12/1999,,,330 KINGSLAND ROAD,,LONDON,,UNITED KINGDOM,E8 4DA,UNAUDITED ABRIDGED,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/03900481,,,,,,,,,,,,,,
78,C POPE BROADCASTING LTD,16982344,Private Limited Company,Active,United Kingdom,22/01/2026,,,25 GOODLASS ROAD,KYZEN SPORTS,LIVERPOOL,,UNITED KINGDOM,L24 9HJ,NO ACCOUNTS FILED,60200 - Television programming and broadcasting activities,,,,http://business.data.gov.uk/id/company/16982344,,,,,,,,,,,,,,
79,VANFLEET MOTORS LIMITED,16751917,Private Limited Company,Active,United Kingdom,30/09/2025,,,13 GRACE STREET NORTH,,BOLTON,,UNITED KINGDOM,BL1 2LE,NO ACCOUNTS FILED,45112 - Sale of used cars and light motor vehicles,,,,http://business.data.gov.uk/id/company/16751917,,,,,,,,,,,,,,
80,MALLONCREST LIMITED,01393294,Private Limited Company,Active,United Kingdom,10/10/1978,,,HIGH BARN,BURTON IN LONSDALE,CARNFORTH,,ENGLAND,LA6 3LB,MICRO ENTITY,68100 - Buying and selling of own real estate,,,,http://business.data.gov.uk/id/company/01393294,,,,,,,,,,,,,,
81,ANIMEBREW LIMITED,15617618,Private Limited Company,Active,United Kingdom,05/04/2024,,,AFFLECKS ARCADE 35-39,OLDHAM STREET,MANCHESTER,,ENGLAND,M1 1JG,MICRO ENTITY,47190 - Other retail sale in non-specialised stores,47650 - Retail sale of games and toys in specialised stores,56102 - Unlicensed restaurants and cafes,,http://business.data.gov.uk/id/company/15617618,,,,,,,,,,,,,,
82,HARPREET SINGH10 LTD,13451572,Private Limited Company,Active,United Kingdom,11/06/2021,,,565 BATH ROAD,,SLOUGH,,ENGLAND,SL1 6AB,UNAUDITED ABRIDGED,41201 - Construction of commercial buildings,,,,http://business.data.gov.uk/id/company/13451572,,,,,,,,,,,,,,
83,THE DAWN LISTER THERAPY CENTRE LIMITED,13660488,Private Limited Company,Active,United Kingdom,04/10/2021,,,1349/1353 LONDON ROAD,,LEIGH-ON-SEA,ESSEX,UNITED KINGDOM,SS9 2AB,TOTAL EXEMPTION FULL,86900 - Other human health activities,,,,http://business.data.gov.uk/id/company/13660488,,,,,,,,,,,,,,
84,ERP (ACCRINGTON) LIMITED,12523085,Private Limited Company,Active,United Kingdom,18/03/2020,,,"C/O GLENBROOK INVESTMENTS, UNION, 2-10",ALBERT SQUARE,MANCHESTER,,ENGLAND,M2 6LW,TOTAL EXEMPTION FULL,41100 - Development of building projects,,,,http://business.data.gov.uk/id/company/12523085,,,,,,,,,,,,,,
85,CIGNELLA WELLNESS LIMITED,09657841,Private Limited Company,Active,United Kingdom,25/06/2015,,,7 ST JOHNS ROAD,,HARROW,,UNITED KINGDOM,HA1 2EY,TOTAL EXEMPTION FULL,55900 - Other accommodation,,,,http://business.data.gov.uk/id/company/09657841,,,,,,,,,,,,,,
86,M & A BRANDS LTD,10547971,Private Limited Company,Active,United Kingdom,05/01/2017,,,46D GREATOREX STREET,,LONDON,,ENGLAND,E1 5NP,MICRO ENTITY,47710 - Retail sale of clothing in specialised stores,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",,,http://business.data.gov.uk/id/company/10547971,,,,,,,,,,,,,,
87,TS WM ESTATES LTD,16438527,Private Limited Company,Active,United Kingdom,08/05/2025,,,68 BEAUFORT AVENUE,,BIRMINGHAM,,ENGLAND,B34 6AE,NO ACCOUNTS FILED,68100 - Buying and selling of own real estate,,,,http://business.data.gov.uk/id/company/16438527,,,,,,,,,,,,,,
88,FOOTBALL FUN FACTORY (COMMUNITY 054) LIMITED,13984959,Private Limited Company,Active,United Kingdom,17/03/2022,,,40 BEAUCHAMP ROAD,,MALVERN,,ENGLAND,WR14 1RX,MICRO ENTITY,93199 - Other sports activities,,,,http://business.data.gov.uk/id/company/13984959,,,,,,,,,,,,,,
89,ASHWELL TECHNOLOGY CONSULTING LTD,17299733,Private Limited Company,Active,United Kingdom,24/06/2026,,,"SECOND FLOOR, OFFICE C21",28 D'ARBLAY STREET,LONDON,,UNITED KINGDOM,W1F 8EW,NO ACCOUNTS FILED,62012 - Business and domestic software development,70229 - Management consultancy activities other than financial management,,,http://business.data.gov.uk/id/company/17299733,,,,,,,,,,,,,,
90,ENGINEERING PLUS LTD,NI727847,Private Limited Company,Active,United Kingdom,26/03/2025,,,FORSYTH HOUSE,CROMAC SQUARE,BELFAST,,NORTHERN IRELAND,BT2 8LA,NO ACCOUNTS FILED,43210 - Electrical installation,43999 - Other specialised construction activities n.e.c.,70229 - Management consultancy activities other than financial management,71121 - Engineering design activities for industrial process and production,http://business.data.gov.uk/id/company/NI727847,,,,,,,,,,,,,,
91,DR EMMA MAHONEY CONSULTING LTD,11189440,Private Limited Company,Active,United Kingdom,06/02/2018,,,CROWN CHAMBES,PRINCES STREET,HARROGATE,,UNITED KINGDOM,HG1 1NJ,MICRO ENTITY,86900 - Other human health activities,,,,http://business.data.gov.uk/id/company/11189440,,,,,,,,,,,,,,
92,SAGNIA SECURITY LIMITED,06938601,Private Limited Company,Active,United Kingdom,19/06/2009,,,28 BASEVI WAY,MILLENNIUM QUAY,LONDON,,,SE8 3JS,TOTAL EXEMPTION FULL,80100 - Private security activities,,,,http://business.data.gov.uk/id/company/06938601,,,,,,,,,,,,,,
93,TR PLUMBING & HEATING LTD,SC524754,Private Limited Company,Active,United Kingdom,20/01/2016,,,17 VETTRIANO VALE,,LEVEN,FIFE,SCOTLAND,KY8 4GD,MICRO ENTITY,"43220 - Plumbing, heat and air-conditioning installation",,,,http://business.data.gov.uk/id/company/SC524754,,,,,,,,,,,,,,
94,FAWAZ MEDICAL LTD,14234205,Private Limited Company,Active,United Kingdom,14/07/2022,,,98 WHITBY ROAD,,ELLESMERE PORT,,UNITED KINGDOM,CH65 0AB,MICRO ENTITY,86210 - General medical practice activities,,,,http://business.data.gov.uk/id/company/14234205,,,,,,,,,,,,,,
95,STANDPOINT CONSULTANTS LTD,07641496,Private Limited Company,Active,United Kingdom,20/05/2011,,,18 BRAINTON AVENUE,,FELTHAM,,ENGLAND,TW14 0AY,MICRO ENTITY,62012 - Business and domestic software development,,,,http://business.data.gov.uk/id/company/07641496,,,,,,,,,,,,,,
96,FINCH JOHNSON HOLDINGS LIMITED,15366267,Private Limited Company,Active,United Kingdom,21/12/2023,,,ST MARGARET'S FARM NAPCHESTER ROAD,WHITFIELD,DOVER,KENT,UNITED KINGDOM,CT15 5HD,TOTAL EXEMPTION FULL,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/15366267,,,,,,,,,,,,,,
97,NICKSON & SONS LIMITED,16640970,Private Limited Company,Active,United Kingdom,11/08/2025,,,PICCADILLY BUSINESS CENTRE,UNIT C ADLOW ENTERPRISE PARK,MANCHESTER,,ENGLAND,M12 6AE,NO ACCOUNTS FILED,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/16640970,,,,,,,,,,,,,,
98,D & C REYNOLDS (WHOLESALE) COMPANY,LP004607,Limited Partnership,Active,United Kingdom,12/04/1994,,,HORSEFAIR,KIDDERMINSTER,,,,,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/LP004607,,,,,,,,,,,,,,
