sample_id,company_number,company_name,candidate_vat,raw_match,source_url,source_domain,source_type,query_type,search_query,extraction_reason,company_number_on_page,company_name_on_page,entity_evidence,evidence_text
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,926739879,GB926739879,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,64473865 BIRCHWOOD ANAESTHETIC CONSULTANTS LTD GB347354487 BIRCHWOOD ART STUDIO LTD. GB463102330 BIRCHWOOD AUTO LIMITED GB926739879 BIRCHWOOD BBQ & GRILL LIMITE D GB429179860 BIRCHWOOD BISTRO WINE LIMITE D GB461497177 BIRCHWOOD BOARDING KENNELS & CATT
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,429179860,GB429179860,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,LTD GB347354487 BIRCHWOOD ART STUDIO LTD. GB463102330 BIRCHWOOD AUTO LIMITED GB926739879 BIRCHWOOD BBQ & GRILL LIMITE D GB429179860 BIRCHWOOD BISTRO WINE LIMITE D GB461497177 BIRCHWOOD BOARDING KENNELS & CATTERY LIMITED GB790297889 BIRCHWOOD BUILDING 
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,461497177,GB461497177,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,B463102330 BIRCHWOOD AUTO LIMITED GB926739879 BIRCHWOOD BBQ & GRILL LIMITE D GB429179860 BIRCHWOOD BISTRO WINE LIMITE D GB461497177 BIRCHWOOD BOARDING KENNELS & CATTERY LIMITED GB790297889 BIRCHWOOD BUILDING & JOINERY CONTRACTORS LIMITED GB364532257 B
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,364532257,GB364532257,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,D GB461497177 BIRCHWOOD BOARDING KENNELS & CATTERY LIMITED GB790297889 BIRCHWOOD BUILDING & JOINERY CONTRACTORS LIMITED GB364532257 BIRCHWOOD CAPITAL LIMITED GB420697789 BIRCHWOOD CAR SALES LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BI
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,420697789,GB420697789,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,LS & CATTERY LIMITED GB790297889 BIRCHWOOD BUILDING & JOINERY CONTRACTORS LIMITED GB364532257 BIRCHWOOD CAPITAL LIMITED GB420697789 BIRCHWOOD CAR SALES LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCH
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,446087087,GB446087087,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,CHWOOD BUILDING & JOINERY CONTRACTORS LIMITED GB364532257 BIRCHWOOD CAPITAL LIMITED GB420697789 BIRCHWOOD CAR SALES LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCH
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,825532827,GB825532827,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ED GB364532257 BIRCHWOOD CAPITAL LIMITED GB420697789 BIRCHWOOD CAR SALES LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCHWOOD COMMERCIAL LIMITED GB786663766 BIRCHWO
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,381008323,GB381008323,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,MITED GB420697789 BIRCHWOOD CAR SALES LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCHWOOD COMMERCIAL LIMITED GB786663766 BIRCHWOOD CONSERVATORIES LIMITED GB7978431
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,752095138,GB752095138,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,S LTD GB446087087 BIRCHWOOD CARAVAN SERVICES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCHWOOD COMMERCIAL LIMITED GB786663766 BIRCHWOOD CONSERVATORIES LIMITED GB797843163 BIRCHWOOD CONSTRUCTION & CAR PENT
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,786663766,GB786663766,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,CES LTD GB825532827 BIRCHWOOD CATERING LTD GB381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCHWOOD COMMERCIAL LIMITED GB786663766 BIRCHWOOD CONSERVATORIES LIMITED GB797843163 BIRCHWOOD CONSTRUCTION & CAR PENTRY LIMI TED GB280499571 BIRCHWOOD CONSULT
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,797843163,GB797843163,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,381008323 BIRCHWOOD CHEMICALS LTD GB752095138 BIRCHWOOD COMMERCIAL LIMITED GB786663766 BIRCHWOOD CONSERVATORIES LIMITED GB797843163 BIRCHWOOD CONSTRUCTION & CAR PENTRY LIMI TED GB280499571 BIRCHWOOD CONSULTANCIES LTD GB267500504 Was this data useful? 
