sample_id,company_number,company_name,queries_executed,queries_with_results,queries_no_results,failed_queries,search_results_seen,documents_fetched,candidate_occurrences_found,company_number_general_with_results,company_number_general_no_results,company_number_general_failed,company_name_general_with_results,company_name_general_no_results,company_name_general_failed,name_postcode_general_with_results,name_postcode_general_no_results,name_postcode_general_failed,datalog_company_number_with_results,datalog_company_number_no_results,datalog_company_number_failed,datalog_company_name_with_results,datalog_company_name_no_results,datalog_company_name_failed,vat_lookup_company_number_with_results,vat_lookup_company_number_no_results,vat_lookup_company_number_failed,vat_lookup_company_name_with_results,vat_lookup_company_name_no_results,vat_lookup_company_name_failed
36,16578242,JJLM PROPERTY LTD,7,4,3,0,15,4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
37,12865822,ZYZIO LIMITED,7,3,1,3,11,7,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
38,09018342,LUBNA & ALI COMPANY LIMITED,7,2,4,1,6,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
39,13688135,GOLD BRICK WORK LTD,7,4,2,1,18,5,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
40,17296127,HAIRSTARWAY LTD,7,4,3,0,12,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
41,16368224,JIMMYDOUGH LTD,7,4,3,0,15,8,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
42,NI736568,MONTAGUE ACCOUNTANCY SERVICES LTD,7,1,6,0,5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
43,SC248517,CRAIGHEAD & WOOLF LIMITED,7,3,4,0,12,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
44,16844948,TAREK AZIZ MAKKAH INTERNATIONAL TRADING LTD,7,3,4,0,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
45,07523763,MD COSMEDICO LIMITED,7,2,3,2,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
46,11537007,TADDY LIFTING SERVICES LTD,7,3,4,0,10,5,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
47,13429752,SURE START ABA LIMITED,7,2,1,4,5,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
48,13189034,LEN'S ROOFING & BUILDING SERVICES LTD,7,5,1,1,18,10,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
49,16617785,VH PROPERTY MAINTENANCE LTD,7,3,2,2,9,4,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
50,06521162,EARLY RISE SCAFFOLDING LIMITED,7,5,0,2,21,8,14,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
51,13756106,NV SHARP ALLIANCE LTD,7,6,0,1,26,11,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
52,12871142,BAYES ALPHA LIMITED,7,3,0,4,11,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
53,16044205,STANLEY JAMES LTD,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
54,16958612,JENSTONE GLOBAL TRADING LTD,7,6,0,1,24,8,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
55,17143008,4MAR C LTD,7,7,0,0,24,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
56,05684687,FIRED UP GAS SERVICES LIMITED,7,7,0,0,27,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
57,09359822,TORQUAY TENNIS CLUB LIMITED,7,5,0,2,21,13,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
58,SC840135,A.L.B NEWSAGENT LIMITED,7,4,0,3,15,2,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
59,13494115,ABE ENGINEERING LIMITED,7,4,0,3,12,5,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
60,15597825,BRAZIER BUSINESS ASSISTANCE LTD,7,3,0,4,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
61,16998933,PREMACTIVE LIMITED,7,4,0,3,14,6,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
62,11854434,NEW FLEET SUPPLIES LIMITED,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
63,16327819,DREAM SALES SOLUTIONS LIMITED,7,2,0,5,6,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
64,03822445,WELLOW HEALTH AND FITNESS LIMITED,7,4,0,3,16,6,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
65,16164608,DF HOUSING LTD,7,4,0,3,16,6,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
66,16713219,CINEPLAN LTD,7,2,0,5,6,4,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
67,09855195,LEVERETT GARDENS MANAGEMENT COMPANY LTD,7,4,0,3,12,7,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
68,OE006398,CROWNGATE RESIDENTIAL LIMITED,7,4,0,3,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
69,09598114,BAMBOLINA CHILDRENSWEAR LTD,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
70,16738115,CEYLON HOPPER LTD,7,2,0,5,6,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
71,12500553,O'CONNOR AND COSTELLO PROPERTIES LTD,7,2,0,5,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
72,11055458,JJR CARE LTD,7,2,1,4,6,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
73,14053096,ZSOLT’S QUALITY PAINTING SERVICES LTD,7,5,0,2,17,6,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
74,10976325,NOTED WELLS LTD,7,4,0,3,13,5,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
75,SL003343,JAMES MCCRIRICK,7,6,1,0,23,9,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
76,15380650,VIBEATION LTD,7,5,2,0,21,7,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
77,03900481,SETBRAY DEVELOPMENTS LIMITED,7,2,5,0,4,2,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
78,16982344,C POPE BROADCASTING LTD,7,3,4,0,8,4,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
79,16751917,VANFLEET MOTORS LIMITED,7,4,2,1,15,5,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
80,01393294,MALLONCREST LIMITED,7,4,2,1,16,9,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
81,15617618,ANIMEBREW LIMITED,7,5,2,0,16,9,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
82,13451572,HARPREET SINGH10 LTD,7,5,2,0,19,6,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
83,13660488,THE DAWN LISTER THERAPY CENTRE LIMITED,7,3,4,0,11,7,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
84,12523085,ERP (ACCRINGTON) LIMITED,7,1,6,0,5,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
85,09657841,CIGNELLA WELLNESS LIMITED,7,5,2,0,14,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
86,10547971,M & A BRANDS LTD,7,4,1,2,12,5,8,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
87,16438527,TS WM ESTATES LTD,7,3,4,0,11,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
88,13984959,FOOTBALL FUN FACTORY (COMMUNITY 054) LIMITED,7,3,4,0,11,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
89,17299733,ASHWELL TECHNOLOGY CONSULTING LTD,7,2,4,1,6,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
90,NI727847,ENGINEERING PLUS LTD,7,4,3,0,16,9,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
91,11189440,DR EMMA MAHONEY CONSULTING LTD,7,2,5,0,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
92,06938601,SAGNIA SECURITY LIMITED,7,3,4,0,9,3,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
93,SC524754,TR PLUMBING & HEATING LTD,7,5,2,0,21,6,3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
94,14234205,FAWAZ MEDICAL LTD,7,1,2,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
95,07641496,STANDPOINT CONSULTANTS LTD,7,1,2,4,5,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
96,15366267,FINCH JOHNSON HOLDINGS LIMITED,7,3,3,1,8,5,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
97,16640970,NICKSON & SONS LIMITED,7,3,0,4,12,4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
98,LP004607,D & C REYNOLDS (WHOLESALE) COMPANY,6,4,0,2,13,5,0,1,0,0,0,0,1,,,,1,0,0,1,0,0,1,0,0,0,0,1
99,08155237,A.D.M PROJECT CONSULTANCY LTD,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
100,10608337,ARTHENA HOUSE LIMITED,6,4,0,2,14,7,0,1,0,0,1,0,0,,,,1,0,0,1,0,0,0,0,1,0,0,1
101,11540433,NEUROIMAGING LTD,7,6,0,1,25,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
102,16949880,ZSK DIGITAL CANVAS LIMITED,7,4,0,3,16,9,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
103,05860436,JLB DESIGN LIMITED,7,2,0,5,6,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
104,10455406,EVERYONE MATTERS SCHOOLS TRUST,7,2,0,5,6,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
105,15383900,QANVAS STUDIOS LTD,7,5,0,2,17,8,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
106,12498554,ALUQO LTD,7,5,0,2,19,4,3,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
107,17427805,BYTECREST SOLUTIONS LTD,7,3,0,4,7,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
108,12645658,RYDER CUP ITALY LIMITED,7,3,0,4,11,4,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
109,08088394,AUDIT9 LIMITED,7,5,0,2,19,11,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
110,09484720,N & J MURPHY LIMITED,7,4,0,3,14,4,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
111,11149829,SXEFIT LTD,7,4,0,3,16,12,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
112,13688346,UNVEILS VISION LTD,7,4,0,3,14,9,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
113,16787682,LECTITAN LIMITED,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
114,08780811,FRESHBUILD LIMITED,7,5,0,2,23,5,12,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
115,07046876,SHILLING MERGERS LIMITED,7,4,1,2,9,3,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
116,12629679,PROSPERITY PROPERTY GROUP LIMITED,7,5,2,0,17,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
117,14731745,GLO MCR LIMITED,7,1,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
118,SC392514,TRIXPIXMEDIA LTD,7,5,2,0,21,7,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
119,15881992,HEYBRIDGE INVESTMENTS LTD,7,4,3,0,16,12,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
120,16559890,SOUL & KEY CONSULTING LTD,7,0,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
121,16376019,THE WANDERPATH LTD,7,6,1,0,21,13,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
122,02621544,FISCAL HIRE LTD.,7,2,5,0,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
123,16866528,JB & MO PROPERTY HOLDINGS LTD,7,5,1,1,18,8,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
124,SC464934,ATLAS ENGINES LTD,7,4,3,0,13,5,4,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
125,11031805,INGRAM HOLDINGS LIMITED,7,1,5,1,5,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
126,SL020457,MULTITRANS LOGISTICS SERVICES LP,7,4,3,0,9,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
127,16917001,SUCCEDIA CIC,7,5,2,0,19,8,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
128,02759927,SONDEREL RESIDENTS ASSOCIATION LIMITED,7,3,3,1,11,7,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
129,14480298,ROBERTO DELIVERS LTD,7,3,3,1,11,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
130,11406651,JUST DESIGNER BRANDS LIMITED,7,3,3,1,7,2,12,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
131,16538153,SOLVORO LTD,7,6,1,0,26,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
132,09522246,VS ORTHO LIMITED,7,2,5,0,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
133,09602233,AUTY SQUARE MANAGEMENT COMPANY LIMITED,7,4,3,0,16,8,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
134,04104009,ENGINEERING DIAMONDS LIMITED,7,4,3,0,12,8,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
135,09511517,FOOT GOLF WISE LIMITED,7,3,4,0,11,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
136,SL011111,WESTFIELD SYSTEMS LP,7,3,4,0,11,9,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
137,10846400,HC ESS4 LIMITED,7,2,4,1,6,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
138,16870892,MTY DIGITAL LTD,7,4,2,1,15,5,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
139,16650513,BYRECROFT LTD,7,4,2,1,15,4,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
140,05370667,JUTTA MOORE LTD.,7,3,0,4,11,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
141,14757192,GOSPACEZ (UK) LTD,7,4,0,3,16,11,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
142,05615719,ALDWYCH HOLDINGS LIMITED,7,3,0,4,10,2,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
143,SC885112,GEEKS IN CITIES LTD,7,2,0,5,6,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
144,05265463,NMK ASSOCIATES LTD,7,5,0,2,21,13,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
145,06595711,D & R BUILDING LIMITED,7,3,0,4,8,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
146,04454103,GRANDPARENTS PLUS,7,4,0,3,16,11,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
147,15973553,FOX,7,5,0,2,17,7,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
148,10321414,FUTURE SKILLS CIC,7,3,0,4,11,7,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
149,SC413542,GVG FORESTRY LIMITED,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
150,SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,7,4,0,3,13,6,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
151,09516684,GOLDSMAN TECH LTD,7,4,0,3,16,8,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
152,10179075,AITCH CONSERVATION LTD,7,2,0,5,6,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
153,16389271,ARTIFICIAL REAL TIME INTELLIGENCE AGENT LTD,7,4,0,3,16,10,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
154,13564003,LIAM DEEHAN HAULAGE LIMITED,7,3,0,4,6,2,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
155,17035430,THE VICTORIAN HOLDINGS GROUP LIMITED,7,2,0,5,6,4,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
156,04789211,DRAGON LAIR TATTOO STUDIO LIMITED,7,1,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
157,11458565,PATIENT ADVOCATE CONSULTANCY SERVICES LIMITED,7,3,0,4,9,5,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
158,09051541,NIKAM CONSULTING LIMITED,7,4,0,3,16,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
159,13882841,KINDA LTD,7,2,0,5,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
160,12277319,AGP AUTOSERVICE LTD,7,2,0,5,6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
161,05212950,MATT COX LTD,7,3,0,4,11,4,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
162,16883141,KIDZPLAY COMMUNITY CIC,7,2,0,5,6,3,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
163,11709579,DIVAURAE CUSTOM LINGERIE MANUFACTURE LTD,7,6,0,1,19,6,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
164,14116098,HUGGABLE NOTTINGHAM LTD,7,0,0,7,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
165,13883568,IVI FRESH LIMITED,7,4,0,3,17,3,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
166,15872505,THE FLOWER SHOP SANDBACH LTD,7,4,0,3,12,4,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
