sample_id,company_number,company_name,candidate_vat,evidence_rows,unique_domains,source_domains,source_types,query_types,entity_evidence_types,pre_hmrc_confidence,company_unique_vats,multiplicity_flag
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,464473865,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,586589957,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,683287596,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,752095138,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,786663766,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,790297889,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,797843163,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,801699717,1,1,vat-check.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,825532827,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,926739879,1,1,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,21,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,723384341,2,2,vat-lookup.co.uk | vat-lookup.com,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL | NAME_POSTCODE_GENERAL,COMPANY_NUMBER,HIGH,11,REVIEW
114,08780811,FRESHBUILD LIMITED,177295370,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,328121919,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,341306832,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,354210881,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,355276875,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,678144310,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,752995876,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,802561850,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,874452011,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,927213827,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,11,REVIEW
114,08780811,FRESHBUILD LIMITED,945173512,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,117513828,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,193745571,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,209996459,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,218671888,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,221436445,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,227888166,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,287953342,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,315338811,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,322214259,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
