sample_id,company_number,company_name,candidate_vat,raw_match,source_url,source_domain,source_type,query_type,search_query,extraction_reason,company_number_on_page,company_name_on_page,entity_evidence,evidence_text,local_company_number,local_company_name,local_entity_evidence,keep_after_local_filter
150,SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,171135632,GB171135632,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB171135632,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""SC450443"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,AITKEN PROFESSIONAL SERVICES LIMITED VAT sales tax information. VAT id GB171135632. Company registration number SC450443. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
160,12277319,AGP AUTOSERVICE LTD,339851858,GB339851858,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB339851858,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,"""AGP AUTOSERVICE LTD"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,AGP AUTOSERVICE LTD VAT sales tax information. VAT id GB339851858. Company registration number 12277319. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
161,05212950,MATT COX LTD,816091440,GB816091440,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB816091440,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""05212950"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,MATT COX HAIRDRESSING LTD VAT sales tax information. VAT id GB816091440. Company registration number 05212950. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
165,13883568,IVI FRESH LIMITED,437807766,GB437807766,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB437807766,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""13883568"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,IVI FRESH LIMITED VAT sales tax information. VAT id GB437807766. Company registration number 13883568. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
180,10958121,GINASWORLDBOUTIQUE & TRAVEL LTD,322291432,GB322291432,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB322291432,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""10958121"" site:vat-lookup.co.uk",GB_PREFIX,True,False,COMPANY_NUMBER,GINASWORLDBOUTIQUE AND RAILW AY SERVICE LIMITED VAT sales tax information. VAT id GB322291432. Company registration number 10958121. Lookup / search / check company VAT registration information. Find a company's V,True,False,LOCAL_COMPANY_NUMBER,True
195,03954623,MADE REAL LTD,107325051,GB107325051,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB186460386,vatsearch.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""03954623"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,TED changed on 17/11/2010 More information on MADE REAL LTD >> Companies At Post Code GU21 5AJ ACCOUNTANCY ALLIANCE LTD GB107325051 ARRAMPICA LIMITED GB114357436 AVITUS LIMITED GB130465835 BALMORAL HOMES LIMITED GB979623167 BARNFATHER COMMUNICATIONS L,False,True,LOCAL_COMPANY_NAME,True
195,03954623,MADE REAL LTD,114357436,GB114357436,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB186460386,vatsearch.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""03954623"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER, information on MADE REAL LTD >> Companies At Post Code GU21 5AJ ACCOUNTANCY ALLIANCE LTD GB107325051 ARRAMPICA LIMITED GB114357436 AVITUS LIMITED GB130465835 BALMORAL HOMES LIMITED GB979623167 BARNFATHER COMMUNICATIONS LIMITED GB416694867 CAVENDISH S,False,True,LOCAL_COMPANY_NAME,True
195,03954623,MADE REAL LTD,186460386,GB186460386,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB186460386,vatsearch.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""03954623"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,MADE REAL LTD VAT sales tax information. VAT id GB186460386. Company registration number 03954623. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
20,11403509,DEVON FIRE & SECURITY LTD,324581311,GB324581311,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB324581311,vat-check.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""11403509"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,DEVON FIRE & SECURITY LTD VAT sales tax information. VAT id GB324581311. Company registration number 11403509. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
21,06649176,PJK ENGINEERING LTD,132842036,GB132842036,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB132842036,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""06649176"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,PJK ENGINEERING LTD VAT sales tax information. VAT id GB132842036. Company registration number 06649176. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,790297889,GB790297889,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,on BIRCHWOOD CLADDING SYSTEMS LIMITED >> Companies At Post Code DE55 4NE BIRCHWOOD BOARDING KENNELS AND CATTERY LIMITED GB790297889 Share page on Facebook Lookup UK VAT number for a company Companies with similar names BIRCHWOOD GB586589957 BIRCHWOOD ,False,True,LOCAL_COMPANY_NAME,True
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,801699717,GB801699717,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,BIRCHWOOD CLADDING SYSTEMS LIMITED VAT sales tax information. VAT id GB801699717. Company registration number 04442079. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
43,SC248517,CRAIGHEAD & WOOLF LIMITED,635008071,GB635008071,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB635008071,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""SC248517"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,CRAIGHEAD & WOOLF LIMITED VAT sales tax information. VAT id GB635008071. Company registration number SC248517. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
43,SC248517,CRAIGHEAD & WOOLF LIMITED,635008071,GB635008071,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB635008071/CompanyName/CRAIGHEAD+&+WOOLF+LIMITED+!!+CRAIGHEAD+&+WOOLF,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""SC248517"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,CRAIGHEAD & WOOLF LIMITED VAT sales tax information. VAT id GB635008071. Company registration number SC248517. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
5,13965119,BACKSTORY BOOKS LTD,406068415,GB406068415,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB406068415/CompanyName/BACKSTORY+BOOKS+LTD,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,"""BACKSTORY BOOKS LTD"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,BACKSTORY BOOKS LIMITED VAT sales tax information. VAT id GB406068415. Company registration number 13965119. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
50,06521162,EARLY RISE SCAFFOLDING LIMITED,704523268,GB704523268,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,on EARLY RISE SCAFFOLDING LIMITED >> Companies At Post Code TR13 0SR AFFINA MARINE LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DE,False,True,LOCAL_COMPANY_NAME,True
50,06521162,EARLY RISE SCAFFOLDING LIMITED,723384341,GB723384341,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,EARLY RISE SCAFFOLDING LIMITED VAT sales tax information. VAT id GB723384341. Company registration number 06521162. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
50,06521162,EARLY RISE SCAFFOLDING LIMITED,723384341,GB723384341,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB723384341/CompanyName/EARLY+RISE+SCAFFOLDING+LIMITED,vat-lookup.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,"""EARLY RISE SCAFFOLDING LIMITED"" ""TR13 0SR"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,EARLY RISE SCAFFOLDING LIMITED VAT sales tax information. VAT id GB723384341. Company registration number 06521162. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
50,06521162,EARLY RISE SCAFFOLDING LIMITED,898631659,GB898631659,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ade or recorded More information on EARLY RISE SCAFFOLDING LIMITED >> Companies At Post Code TR13 0SR AFFINA MARINE LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC ,False,True,LOCAL_COMPANY_NAME,True
64,03822445,WELLOW HEALTH AND FITNESS LIMITED,744943016,GB744943016,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB744943016,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""03822445"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,WELLOW HEALTH AND FITNESS LIMITED VAT sales tax information. VAT id GB744943016. Company registration number 03822445. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
80,01393294,MALLONCREST LIMITED,814233362,GB814233362,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB814233362,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""01393294"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,MALLONCREST LIMITED VAT sales tax information. VAT id GB814233362. Company registration number 01393294. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
86,10547971,M & A BRANDS LTD,160418335,GB160418335,https://vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB360448307/CompanyName/M+&+A+BRANDS+LTD,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,"""M & A BRANDS LTD"" ""VAT""",GB_PREFIX,True,True,COMPANY_NUMBER,ny have been made or recorded More information on M & A BRANDS LTD >> Companies At Post Code E1 5NP E1 PRINTING LIMITED GB160418335 LASTMINUTEPRINT.COM LIMITED GB175765957 B PRASAD & BROTHERS FOOD LIMITED GB304767501 BLUEBELL RESIDENTIAL LIMITED GB427,False,True,LOCAL_COMPANY_NAME,True
86,10547971,M & A BRANDS LTD,175765957,GB175765957,https://vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB360448307/CompanyName/M+&+A+BRANDS+LTD,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,"""M & A BRANDS LTD"" ""VAT""",GB_PREFIX,True,True,COMPANY_NUMBER,mation on M & A BRANDS LTD >> Companies At Post Code E1 5NP E1 PRINTING LIMITED GB160418335 LASTMINUTEPRINT.COM LIMITED GB175765957 B PRASAD & BROTHERS FOOD LIMITED GB304767501 BLUEBELL RESIDENTIAL LIMITED GB427637967 SURAIYAA SOUTH LIMITED GB42205524,False,True,LOCAL_COMPANY_NAME,True
86,10547971,M & A BRANDS LTD,360448307,GB360448307,https://vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB360448307/CompanyName/M+&+A+BRANDS+LTD,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,"""M & A BRANDS LTD"" ""VAT""",GB_PREFIX,True,True,COMPANY_NUMBER,M & A BRANDS LTD VAT sales tax information. VAT id GB360448307. Company registration number 10547971. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
93,SC524754,TR PLUMBING & HEATING LTD,238984062,GB238984062,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB238984062,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""SC524754"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,TR PLUMBING & HEATING LTD VAT sales tax information. VAT id GB238984062. Company registration number SC524754. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
